Id,Position,Nickname,FPPG,Played,Salary,Team,Opponent,Injury Indicator,Injury Details,D_Val,% Rostered,O_Val,Value
94709-26483,QB,Geno Smith,14.335000038146973,4.0,6800,SEA,CIN,,,0.9,60.4,-0.5,-0.49810272058318644
94709-103342,RB2,Kenneth Walker III,17.399999618530273,4.0,8400,SEA,CIN,,,0.9,97.8,-0.5,-0.49813571432658604
94709-27050,WR3,Tyler Lockett,9.550000190734863,4.0,6600,SEA,CIN,,,0.9,90.5,-0.5,-0.49869772724671796
94709-103376,Flex,Zach Charbonnet,3.650000095367432,4.0,4800,SEA,CIN,,,0.9,34.9,-0.5,-0.4993156249821186
94709-129458,Flex,Jaxon Smith-Njigba,3.049999952316284,4.0,4800,SEA,CIN,,,0.9,57.0,-0.5,-0.4994281250089407
94709-136855,RB2,Bijan Robinson,14.3,5.0,7600,ATL,WAS,,,1.7,99.9,-0.7,-0.6968013157894737
94709-90428,Flex,Tyler Allgeier,7.859999847412109,5.0,5700,ATL,WAS,,,1.7,59.1,-0.7,-0.6976557895191928
94709-112745,WR3,Drake London,8.355999755859376,5.0,6400,ATL,WAS,,,1.7,78.9,-0.7,-0.6977804375648498
94709-86080,TE,Kyle Pitts,5.879999923706055,5.0,5300,ATL,WAS,,,1.7,86.8,-0.7,-0.6981139622886225
94709-12525,D,Atlanta Falcons,4.0,5.0,4100,ATL,WAS,,,1.7,81.24,-0.7,-0.6983414634146341
94709-45229,Flex,Kareem Hunt,2.8499999046325684,2.0,5400,CLE,SF,,,-2.5,30.0,-0.9,-0.9013194444002929
94709-88575,Flex,Elijah Moore,5.400000095367432,4.0,5600,CLE,SF,,,-2.5,43.9,-0.9,-0.902410714328289
94709-31001,WR3,Amari Cooper,10.225000381469728,4.0,6600,CLE,SF,,,-2.5,95.7,-0.9,-0.9038731062051022
94709-12529,D,Cleveland Browns,8.0,4.0,3800,CLE,SF,,,-2.5,99.99,-0.9,-0.9052631578947369
94709-39716,WR2,Adam Thielen,15.8,5.0,7400,CAR,MIA,,,1.3,88.8,-1.3,-1.2972243243243244
94709-12553,D,Carolina Panthers,4.4,5.0,3000,CAR,MIA,,,1.3,62.49,-1.3,-1.2980933333333333
94709-52917,WR3,DJ Chark Jr.,8.524999618530273,4.0,6000,CAR,MIA,,,1.3,41.1,-1.3,-1.2981529167493184
94709-87467,Flex,Chuba Hubbard,5.420000076293945,5.0,5500,CAR,MIA,,,1.3,17.8,-1.3,-1.2987189090728761
94709-12542,D,New Orleans Saints,10.8,5.0,4600,NO,HOU,,,0.3,90.615,-1.7,-1.699295652173913
94709-42104,RB2,Alvin Kamara,16.049999237060547,2.0,7500,NO,HOU,,,0.3,97.4,-1.7,-1.6993580000305175
94709-45859,QB,Derek Carr,10.068000030517576,5.0,6600,NO,HOU,,,0.3,14.6,-1.7,-1.6995423636349765
94709-170287,Flex,Rashid Shaheed,7.880000305175781,5.0,5400,NO,HOU,,,0.3,15.2,-1.7,-1.699562222205268
94709-28573,WR3,Michael Thomas,8.280000305175781,5.0,5900,NO,HOU,,,0.3,82.3,-1.7,-1.69957898303533
94709-12528,D,Cincinnati Bengals,9.0,5.0,4200,CIN,SEA,,,1.5,37.49,-2.9,-2.896785714285714
94709-85701,WR2,Ja'Marr Chase,17.560000610351562,5.0,9300,CIN,SEA,,,1.5,99.9,-2.9,-2.89716774183704
94709-63336,QB,Joe Burrow,11.55999984741211,5.0,7500,CIN,SEA,,,1.5,96.8,-2.9,-2.8976880000305174
94709-52442,RB2,Joe Mixon,10.65999984741211,5.0,7000,CIN,SEA,,,1.5,98.8,-2.9,-2.897715714318412
94709-40669,Flex,Tyler Boyd,5.6200000762939455,5.0,6100,CIN,SEA,,,1.5,50.7,-2.9,-2.898618032768124
