Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
94709-69213,WR,Michael,Michael Pittman Jr.,Pittman Jr.,10.640000152587891,5,6500,IND@JAC,IND,JAC,,,,,,WR/FLEX
94709-112745,WR,Drake,Drake London,London,8.355999755859376,5,6400,WAS@ATL,ATL,WAS,,,,,,WR/FLEX
94709-90533,RB,Jerome,Jerome Ford,Ford,12.324999809265137,4,6400,SF@CLE,CLE,SF,Q,Knee,,,,RB/FLEX
94709-64051,QB,Drew,Drew Lock,Lock,3.619999885559082,1,6400,SEA@CIN,SEA,CIN,,,,,,QB
94709-91898,QB,Dorian,Dorian Thompson-Robinson,Thompson-Robinson,4.239999771118164,1,6300,SF@CLE,CLE,SF,,,,,,QB
94709-53331,QB,Taylor,Taylor Heinicke,Heinicke,13.551111009385851,9,6200,WAS@ATL,ATL,WAS,,,,,,QB
94709-63589,QB,Sam,Sam Darnold,Darnold,-0.11500000208616257,4,6200,SF@CLE,SF,CLE,,,,,,QB
94709-24849,QB,Jameis,Jameis Winston,Winston,0.8800000349680582,3,6200,NO@HOU,NO,HOU,,,,,,QB
94709-63855,WR,K.J.,K.J. Osborn,Osborn,7.019999694824219,5,6200,MIN@CHI,MIN,CHI,,,,,,WR/FLEX
94709-52613,WR,Curtis,Curtis Samuel,Samuel,9.95999984741211,5,6200,WAS@ATL,WAS,ATL,,,,,,WR/FLEX
94709-60840,QB,Jake,Jake Browning,Browning,-0.10000000149011612,1,6200,SEA@CIN,CIN,SEA,,,,,,QB
94709-14225,QB,Andy,Andy Dalton,Dalton,11.819999694824219,2,6200,CAR@MIA,CAR,MIA,,,,,,QB
94709-30761,QB,Nathan,Nathan Peterman,Peterman,3.086666742960612,3,6100,MIN@CHI,CHI,MIN,,,,,,QB
94709-27986,QB,C.J.,C.J. Beathard,Beathard,0.36000001430511475,1,6100,IND@JAC,JAC,IND,,,,,,QB
94709-30231,QB,Jacoby,Jacoby Brissett,Brissett,12.472856794084821,14,6100,WAS@ATL,WAS,ATL,,,,,,QB
94709-89628,QB,Davis,Davis Mills,Mills,13.101333618164062,15,6100,NO@HOU,HOU,NO,,,,,,QB
94709-40534,QB,Mike,Mike White,White,6.579999923706055,1,6100,CAR@MIA,MIA,CAR,,,,,,QB
94709-41562,QB,Nick,Nick Mullens,Mullens,3.190000057220459,4,6100,MIN@CHI,MIN,CHI,IR,Back,,,,QB
94709-40669,WR,Tyler,Tyler Boyd,Boyd,5.6200000762939455,5,6100,SEA@CIN,CIN,SEA,,,,,,WR/FLEX
94709-41827,QB,P.J.,P.J. Walker,Walker,7.023333231608073,6,6100,SF@CLE,CLE,SF,,,,,,QB
94709-91047,TE,Cole,Cole Kmet,Kmet,10.54000015258789,5,6100,MIN@CHI,CHI,MIN,Q,Hamstring,,,,TE/FLEX
94709-89236,QB,James,James Blackman,Blackman,,,6000,CAR@MIA,MIA,CAR,,,,,,QB
94709-45259,QB,Logan,Logan Woodside,Woodside,,,6000,WAS@ATL,ATL,WAS,,,,,,QB
94709-130269,QB,Reid,Reid Sinnett,Sinnett,,,6000,SEA@CIN,CIN,SEA,,,,,,QB
94709-129291,WR,Tank,Tank Dell,Dell,10.95999984741211,5,6000,NO@HOU,HOU,NO,Q,Concussion,,,,WR/FLEX
94709-185629,QB,Tim,Tim DeMorat,DeMorat,,,6000,WAS@ATL,WAS,ATL,,,,,,QB
94709-90400,QB,Jaren,Jaren Hall,Hall,,,6000,MIN@CHI,MIN,CHI,,,,,,QB
94709-31047,QB,AJ,AJ McCarron,McCarron,,,6000,SEA@CIN,CIN,SEA,,,,,,QB
94709-91511,QB,Holton,Holton Ahlers,Ahlers,,,6000,SEA@CIN,SEA,CIN,,,,,,QB
94709-92560,QB,Sam,Sam Ehlinger,Ehlinger,9.654999732971191,4,6000,IND@JAC,IND,JAC,,,,,,QB
94709-185776,QB,Tyson,Tyson Bagent,Bagent,,,6000,MIN@CHI,CHI,MIN,,,,,,QB
94709-31170,QB,Brandon,Brandon Allen,Allen,0.7799999713897705,1,6000,SF@CLE,SF,CLE,,,,,,QB
94709-22994,QB,Case,Case Keenum,Keenum,0.1599999964237213,2,6000,NO@HOU,HOU,NO,,,,,,QB
94709-91639,QB,Jake,Jake Fromm,Fromm,,,6000,WAS@ATL,WAS,ATL,,,,,,QB
